work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_usd_norm,salary_usd_zscore,salary_level,is_remote
2020,Mid-level,Full-Time,data scientist,70000,EUR,79833.0,DE,0,DE,Large,0.273923464131485,-0.45082543974170586,Medio,Presencial
2020,Senior,Full-Time,machine learning scientist,260000,USD,260000.0,JP,0,JP,Small,0.9150746159772675,2.409732504728633,Alto,Presencial
2020,Senior,Full-Time,big data engineer,85000,GBP,109024.0,GB,50,GB,Medium,0.37780399316027624,0.01264759892260932,Medio,Híbrido
2020,Mid-level,Full-Time,product data analyst,20000,USD,20000.0,HN,0,HN,Small,0.06099880607319074,-1.4008094184475388,Bajo,Presencial
2020,Senior,Full-Time,machine learning engineer,150000,USD,150000.0,US,50,US,Large,0.5236232031045657,0.6632341232728878,Alto,Híbrido
2020,Entry-level,Full-Time,data analyst,72000,USD,72000.0,US,100,US,Large,0.24604856488574067,-0.5751920017593681,Medio,Remoto
2020,Senior,Full-Time,lead data scientist,190000,USD,190000.0,US,100,US,Small,0.6659691714219117,1.2983244438022499,Alto,Remoto
2020,Mid-level,Full-Time,data scientist,11000000,HUF,35735.0,HU,50,HU,Large,0.11699415136002676,-1.150980763609301,Bajo,Híbrido
2020,Mid-level,Full-Time,business data analyst,135000,USD,135000.0,US,100,US,Large,0.4702434649855608,0.425075253074377,Medio,Remoto
2020,Senior,Full-Time,lead data engineer,125000,USD,125000.0,NZ,50,NZ,Small,0.43465697290622424,0.2663026729420365,Medio,Híbrido
2020,Entry-level,Full-Time,data scientist,45000,EUR,51321.0,FR,0,FR,Small,0.17245925791488068,-0.9035178202150351,Bajo,Presencial
2020,Mid-level,Full-Time,data scientist,3000000,INR,40481.0,IN,0,IN,Large,0.13388350050087988,-1.0756272970784921,Bajo,Presencial
2020,Entry-level,Full-Time,data scientist,35000,EUR,39916.0,FR,0,FR,Medium,0.13187286369839735,-1.0845979478559695,Bajo,Presencial
2020,Mid-level,Full-Time,lead data analyst,87000,USD,87000.0,US,100,US,Large,0.29942830300474543,-0.3370331315608574,Medio,Remoto
2020,Mid-level,Full-Time,data analyst,85000,USD,85000.0,US,100,US,Large,0.29231100458887815,-0.3687876475873255,Medio,Remoto
2020,Mid-level,Full-Time,data analyst,8000,USD,8000.0,PK,50,PK,Large,0.018295015577986906,-1.5913365146063474,Bajo,Híbrido
2020,Entry-level,Full-Time,data engineer,4450000,JPY,41689.0,JP,100,JP,Small,0.1381823487440637,-1.0564475693985054,Bajo,Remoto
2020,Senior,Full-Time,big data engineer,100000,EUR,114047.0,PL,100,GB,Small,0.395679088131727,0.09239906592308396,Medio,Remoto
2020,Entry-level,Full-Time,data science consultant,423000,INR,5707.0,IN,50,IN,Medium,0.010135032944195042,-1.627743067230693,Bajo,Híbrido
